Date,Close,High,Low,Open,Volume
,ITC.BO,ITC.BO,ITC.BO,ITC.BO,ITC.BO
2000-01-03,0.0015917399432510138,0.0015917399432510138,0.0015917399432510138,0.0015917399432510138,0
2000-01-04,0.0015917399432510138,0.0015917399432510138,0.0015917399432510138,0.0015917399432510138,0
2000-01-05,0.0015917399432510138,0.0015917399432510138,0.0015917399432510138,0.0015917399432510138,0
2000-01-06,0.0015917399432510138,0.0015917399432510138,0.0015917399432510138,0.0015917399432510138,0
2000-01-07,0.0015917399432510138,0.0015917399432510138,0.0015917399432510138,0.0015917399432510138,0
2000-01-10,0.0015917399432510138,0.0015917399432510138,0.0015917399432510138,0.0015917399432510138,0
2000-01-11,0.0015917399432510138,0.0015917399432510138,0.0015917399432510138,0.0015917399432510138,0
2000-01-12,0.0015917399432510138,0.0015917399432510138,0.0015917399432510138,0.0015917399432510138,0
2000-01-13,0.0015917399432510138,0.0015917399432510138,0.0015917399432510138,0.0015917399432510138,0
2000-01-14,0.0015917399432510138,0.0015917399432510138,0.0015917399432510138,0.0015917399432510138,0
2000-01-17,0.0015917399432510138,0.0015917399432510138,0.0015917399432510138,0.0015917399432510138,0
2000-01-18,0.0015917399432510138,0.0015917399432510138,0.0015917399432510138,0.0015917399432510138,0
2000-01-19,0.0015917399432510138,0.0015917399432510138,0.0015917399432510138,0.0015917399432510138,0
2000-01-20,0.0015917399432510138,0.0015917399432510138,0.0015917399432510138,0.0015917399432510138,0
2000-01-21,0.0015917399432510138,0.0015917399432510138,0.0015917399432510138,0.0015917399432510138,0
2000-01-24,0.0015917399432510138,0.0015917399432510138,0.0015917399432510138,0.0015917399432510138,0
2000-01-25,0.0015917399432510138,0.0015917399432510138,0.0015917399432510138,0.0015917399432510138,0
2000-01-26,0.0015917399432510138,0.0015917399432510138,0.0015917399432510138,0.0015917399432510138,0
2000-01-27,0.0015917399432510138,0.0015917399432510138,0.0015917399432510138,0.0015917399432510138,0
2000-01-28,0.0015917399432510138,0.0015917399432510138,0.0015917399432510138,0.0015917399432510138,0
2000-01-31,0.0011403989046812057,0.0011403989046812057,0.0011403989046812057,0.0011403989046812057,629997
2000-02-01,0.0011403989046812057,0.0011403989046812057,0.0011403989046812057,0.0011403989046812057,0
2000-02-02,0.0011403989046812057,0.0011403989046812057,0.0011403989046812057,0.0011403989046812057,0
